ticker,conm,ret,year,month,EW,VW,PW,n
BLRX,BIOLINE RX LTD,,2011,7,1,,,668
BLRX,BIOLINE RX LTD,-0.238568702,2011,8,1,,5.24,668
BLRX,BIOLINE RX LTD,-0.275671069,2011,9,1,,3.9899,668
BLRX,BIOLINE RX LTD,0.4567474048,2011,10,1,357.18377,2.89,668
BLRX,BIOLINE RX LTD,-0.269453682,2011,11,1,520.32653,4.21,668
BLRX,BIOLINE RX LTD,0.0306931981,2011,12,1,380.1226308,3.0756,668
BLRX,BIOLINE RX LTD,0.2555205047,2012,1,1,391.78981,3.17,668
BLRX,BIOLINE RX LTD,-0.206030151,2012,2,1,491.90014,3.98,668
BLRX,BIOLINE RX LTD,-0.091772152,2012,3,1,390.58548,3.16,668
BLRX,BIOLINE RX LTD,-0.066202091,2012,4,1,505.28072,2.87,668
BLRX,BIOLINE RX LTD,-0.134328358,2012,5,1,471.83008,2.68,668
BLRX,BIOLINE RX LTD,0.0517241379,2012,6,1,408.44992,2.32,668
BLRX,BIOLINE RX LTD,0.106557377,2012,7,1,429.57664,2.44,668
BLRX,BIOLINE RX LTD,-0.162962963,2012,8,1,475.3512,2.7,668
BLRX,BIOLINE RX LTD,0.1637168142,2012,9,1,397.88656,2.26,668
BLRX,BIOLINE RX LTD,0.2015209125,2012,10,1,463.14826,2.63,668
BLRX,BIOLINE RX LTD,-0.126582278,2012,11,1,559.59808,3.16,668
BLRX,BIOLINE RX LTD,-0.083333333,2012,12,1,488.76288,2.76,668
BLRX,BIOLINE RX LTD,0.8735177866,2013,1,1,448.03264,2.53,668
BLRX,BIOLINE RX LTD,-0.227848101,2013,2,1,839.39712,4.74,668
BLRX,BIOLINE RX LTD,-0.540983607,2013,3,1,791.17488,3.66,668
BLRX,BIOLINE RX LTD,0.0833333333,2013,4,1,367.332,1.68,668
BLRX,BIOLINE RX LTD,-0.098901099,2013,5,1,397.943,1.82,668
BLRX,BIOLINE RX LTD,-0.012195122,2013,6,1,372.5178,1.64,668
BLRX,BIOLINE RX LTD,0.1234567901,2013,7,1,371.75112,1.62,668
BLRX,BIOLINE RX LTD,0.0384615385,2013,8,1,417.64632,1.82,668
BLRX,BIOLINE RX LTD,0.1587301587,2013,9,1,438.28533,1.89,668
BLRX,BIOLINE RX LTD,0.1461187215,2013,10,1,514.55145,2.19,668
BLRX,BIOLINE RX LTD,0.0597609562,2013,11,1,596.0497,2.51,668
BLRX,BIOLINE RX LTD,0.0563909774,2013,12,1,631.6702,2.66,668
BLRX,BIOLINE RX LTD,0.0391459075,2014,1,1,678.57847,2.81,668
BLRX,BIOLINE RX LTD,0.0308219178,2014,2,1,707.25904,2.92,668
BLRX,BIOLINE RX LTD,-0.259136213,2014,3,1,729.05812,3.01,668
BLRX,BIOLINE RX LTD,-0.094170404,2014,4,1,757.38828,2.23,668
BLRX,BIOLINE RX LTD,0.0297029703,2014,5,1,686.06472,2.02,668
BLRX,BIOLINE RX LTD,0,2014,6,1,706.44288,2.08,668
BLRX,BIOLINE RX LTD,-0.139423077,2014,7,1,709.59408,2.08,668
BLRX,BIOLINE RX LTD,-0.067039106,2014,8,1,610.66029,1.79,668
BLRX,BIOLINE RX LTD,-0.077844311,2014,9,1,569.72217,1.67,668
BLRX,BIOLINE RX LTD,-0.094285714,2014,10,1,525.37254,1.54,668
BLRX,BIOLINE RX LTD,-0.075207915,2014,11,1,475.8374148,1.3948,668
BLRX,BIOLINE RX LTD,0.255911311,2014,12,1,440.0506749,1.2899,668
BLRX,BIOLINE RX LTD,0.1111111111,2015,1,1,633.66462,1.62,668
BLRX,BIOLINE RX LTD,0.2944444444,2015,2,1,704.0718,1.8,668
BLRX,BIOLINE RX LTD,-0.094420601,2015,3,1,911.38183,2.33,668
BLRX,BIOLINE RX LTD,-0.113744076,2015,4,1,1128.64111,2.11,668
BLRX,BIOLINE RX LTD,0.0588235294,2015,5,1,1000.26487,1.87,668
BLRX,BIOLINE RX LTD,0.3434343434,2015,6,1,1059.10398,1.98,668
BLRX,BIOLINE RX LTD,-0.406015038,2015,7,1,143.99644,2.66,668
BLRX,BIOLINE RX LTD,-0.03164557,2015,8,1,86.34384,1.58,668
BLRX,BIOLINE RX LTD,0,2015,9,1,83.61144,1.53,668
BLRX,BIOLINE RX LTD,-0.120915033,2015,10,1,83.61144,1.53,668
BLRX,BIOLINE RX LTD,-0.011152416,2015,11,1,73.510975,1.345,668
BLRX,BIOLINE RX LTD,-0.022556391,2015,12,1,72.69115,1.33,668
BLRX,BIOLINE RX LTD,-0.207692308,2016,1,1,71.2595,1.3,668
BLRX,BIOLINE RX LTD,0.067961165,2016,2,1,56.46254,1.03,668
BLRX,BIOLINE RX LTD,-0.072727273,2016,3,1,60.2998,1.1,668
BLRX,BIOLINE RX LTD,-0.049019608,2016,4,1,56.74464,1.02,668
BLRX,BIOLINE RX LTD,-0.019690722,2016,5,1,54.73128,0.97,668
BLRX,BIOLINE RX LTD,-0.158691766,2016,6,1,53.6535816,0.9509,668
BLRX,BIOLINE RX LTD,-0.026875,2016,7,1,45.1392,0.8,668
BLRX,BIOLINE RX LTD,0.1310211946,2016,8,1,43.9268625,0.7785,668
BLRX,BIOLINE RX LTD,0.3060760931,2016,9,1,49.6822125,0.8805,668
BLRX,BIOLINE RX LTD,-0.104347826,2016,10,1,64.89795,1.15,668
BLRX,BIOLINE RX LTD,-0.019417476,2016,11,1,58.32272,1.03,668
BLRX,BIOLINE RX LTD,-0.089108911,2016,12,1,57.59929,1.01,668
BLRX,BIOLINE RX LTD,0.1086956522,2017,1,1,52.47036,0.92,668
BLRX,BIOLINE RX LTD,0.125,2017,2,1,58.4307,1.02,668
BLRX,BIOLINE RX LTD,-0.162962963,2017,3,1,67.76217,1.1475,668
BLRX,BIOLINE RX LTD,-0.104633004,2017,4,1,59.341611,0.9605,668
BLRX,BIOLINE RX LTD,-0.034883721,2017,5,1,82.23062,0.86,668
BLRX,BIOLINE RX LTD,0.0180722892,2017,6,1,79.36294,0.83,668
BLRX,BIOLINE RX LTD,0.2662721893,2017,7,1,80.79721,0.845,668
BLRX,BIOLINE RX LTD,-0.028037383,2017,8,1,102.3134,1.07,668
BLRX,BIOLINE RX LTD,0.0769230769,2017,9,1,108.28064,1.04,668
BLRX,BIOLINE RX LTD,-0.071428571,2017,10,1,116.60992,1.12,668
BLRX,BIOLINE RX LTD,0.0585576923,2017,11,1,108.28272,1.04,668
BLRX,BIOLINE RX LTD,-0.00990099,2017,12,1,114.6455242,1.1009,668
BLRX,BIOLINE RX LTD,-0.018348624,2018,1,1,114.51867,1.09,668
BLRX,BIOLINE RX LTD,-0.065607477,2018,2,1,113.70783,1.07,668
BLRX,BIOLINE RX LTD,-0.129825965,2018,3,1,106.268742,0.9998,668
BLRX,BIOLINE RX LTD,-0.08,2018,4,1,92.55408,0.87,668
BLRX,BIOLINE RX LTD,0.1566716642,2018,5,1,85.246602,0.8004,668
BLRX,BIOLINE RX LTD,-0.038669259,2018,6,1,98.7523086,0.9258,668
BLRX,BIOLINE RX LTD,-0.012921348,2018,7,1,96.1467,0.89,668
BLRX,BIOLINE RX LTD,0.0586226522,2018,8,1,94.906112,0.8785,668
BLRX,BIOLINE RX LTD,0.1505376344,2018,9,1,100.49673,0.93,668
BLRX,BIOLINE RX LTD,-0.342429907,2018,10,1,115.64881,1.07,668
BLRX,BIOLINE RX LTD,-0.028283115,2018,11,1,79.7031044,0.7036,668
BLRX,BIOLINE RX LTD,-0.360391985,2018,12,1,77.8084785,0.6837,668
BLRX,BIOLINE RX LTD,0.5092613766,2019,1,1,50.2593263,0.4373,668
BLRX,BIOLINE RX LTD,-0.378787879,2019,2,1,76.92366,0.66,668
BLRX,BIOLINE RX LTD,0.0487804878,2019,3,1,47.78591,0.41,668
BLRX,BIOLINE RX LTD,-0.095813953,2019,4,1,62.15865,0.43,668
BLRX,BIOLINE RX LTD,-0.083333333,2019,5,1,56.2072608,0.3888,668
BLRX,BIOLINE RX LTD,0.0241301908,2019,6,1,52.0212132,0.3564,668
BLRX,BIOLINE RX LTD,-0.274885808,2019,7,1,53.64113,0.365,668
BLRX,BIOLINE RX LTD,-0.282115869,2019,8,1,586.72233,3.97,668
BLRX,BIOLINE RX LTD,-0.073684211,2019,9,1,425.0661,2.85,668
BLRX,BIOLINE RX LTD,-0.011363636,2019,10,1,400.47744,2.64,668
BLRX,BIOLINE RX LTD,0.0038314176,2019,11,1,398.49741,2.61,668
BLRX,BIOLINE RX LTD,-0.141221374,2019,12,1,412.48494,2.62,668
BLRX,BIOLINE RX LTD,0.0488888889,2020,1,1,385.3575,2.25,668
BLRX,BIOLINE RX LTD,-0.203389831,2020,2,1,417.74124,2.36,668
BLRX,BIOLINE RX LTD,-0.292553191,2020,3,1,334.15496,1.88,668
BLRX,BIOLINE RX LTD,0.2631578947,2020,4,1,237.6843,1.33,668
BLRX,BIOLINE RX LTD,0.1547619048,2020,5,1,303.38952,1.68,668
BLRX,BIOLINE RX LTD,-0.118556701,2020,6,1,502.11856,1.94,668
BLRX,BIOLINE RX LTD,0.3274853801,2020,7,1,507.03039,1.71,668
BLRX,BIOLINE RX LTD,-0.198237885,2020,8,1,673.07543,2.27,668
BLRX,BIOLINE RX LTD,-0.098901099,2020,9,1,539.64638,1.82,668
BLRX,BIOLINE RX LTD,0.2073170732,2020,10,1,486.27476,1.64,668
BLRX,BIOLINE RX LTD,0.1565656566,2020,11,1,593.64954,1.98,668
BLRX,BIOLINE RX LTD,0.1004366812,2020,12,1,729.09249,2.29,668
